station_id,name,status,address,district,modified_date
3686,Sterzing at Barton Springs,active,1825 Barton Springs Rd,5,2021-01-04 12:00:00.000000 UTC
3791,Lake Austin & Enfield,active,3825 Lake Austin Blvd,10,2021-01-04 12:00:00.000000 UTC
3792,22nd & Pearl,active,900 W. 22nd,9,2021-01-04 12:00:00.000000 UTC
3838,Nueces & 26th,active,600 W. 26th St.,9,2021-01-04 12:00:00.000000 UTC
3841,23rd & Rio Grande,closed,2308 Rio Grande St.,9,2021-11-04 02:07:00.000000 UTC
4048,South Congress @ Bouldin Creek,active,799 South Congress Avenue,9,2021-01-04 12:00:00.000000 UTC
2537,West & 6th St.,active,603 West Ave.,9,2021-01-04 12:00:00.000000 UTC
3377,MoPac Pedestrian Bridge @ Veterans Drive,active,2105 Veterans Dr.,9,2021-01-04 12:00:00.000000 UTC
3794,Dean Keeton & Speedway,active,180 E. Dean Keeton St.,9,2021-01-04 12:00:00.000000 UTC
3795,Dean Keeton & Whitis,active,300 W. Dean Keeton St.,9,2021-01-04 12:00:00.000000 UTC
3797,21st & University,active,2007 University Ave.,9,2021-01-04 12:00:00.000000 UTC
